pid,start,end
P1,0,1
CS,1,2
P2,2,3
P2,3,4
P2,4,5
CS,5,6
P1,6,7
P1,7,8
P1,8,9
P1,9,10
CS,10,11
P4,11,12
CS,12,13
P3,13,14
P3,14,15
P3,15,16
P3,16,17
P3,17,18
P3,18,19
P3,19,20
P3,20,21
